Metal,Ligand,BETA_1,BETA_2,BETA_3,BETA_4,Sass_1,Sass_2,Sass_3,Sass_4,BETA_reference,Sass_reference
Ca+2,formate,0.84,,,,10,,,,Bunting & Thong 1970,Nancollas 1956
Cd+2,formate,1.78,,,,,,,,Bunting & Thong 1970,
Ce+3,formate,1.53,,,,,,,,Kovar & Powell 1966,
Ce+4,formate,,,,,,,,,,
Cf+3,formate,,,,,,,,,,
Cm+3,formate,2.11,,,,18.8,,,,Frohlich et al. 2015,Frohlich et al. 2015
Co+2,formate,1.25,,,,,,,,Bunting & Thong 1970,
Co+3,formate,,,,,,,,,,
Cr+2,formate,,,,,,,,,,
Cr+3,formate,,,,,,,,,,
Cu+2,formate,2.05,,,,,,,,Dubler et al. 1984,
Dy+3,formate,1.62,,,,,,,,Kovar & Powell 1966,
Er+3,formate,1.52,,,,,,,,Kovar & Powell 1966,
Eu+3,formate,1.81,,,,,,,,Kovar & Powell 1966,
Fe+2,formate,,,,,,,,,,
Fe+3,formate,3.57,,,,,,,,Perrin 1959,
Ga+3,formate,,,,,,,,,,
Gd+3,formate,1.75,,,,,,,,Kovar & Powell 1966,
H+,formate,3.739,,,,17.4,,,,Saxton & Darken 1940,Christensen et al. 1970
Hf+4,formate,,,,,,,,,,
Hg+2,formate,3.51,,,,,,,,Khokhlava et al. 1982,
Ho+3,formate,1.55,,,,,,,,Kovar & Powell 1966,
In+3,formate,,,,,,,,,,
K+,formate,,,,,,,,,,
La+3,formate,1.51,,,,,,,,Kovar & Powell 1966,
Li+,formate,,,,,,,,,,
Lu+3,formate,1.4,,,,,,,,Kovar & Powell 1966,
Mg+2,formate,0.81,,,,,,,,"Bunting & Thong, 1970",
Mn+2,formate,,,,,,,,,,
Mn+3,formate,,,,,,,,,,
Na+,formate,,,,,,,,,,
Nd+3,formate,1.56,,,,,,,,Kovar & Powell 1966,
Ni+2,formate,1.2,,,,,,,,"Bunting & Thong, 1970",
Np+3,formate,,,,,,,,,,
Np+4,formate,2.84,,,,,,,,Ananev & Krot 1984a,
NpO2+,formate,1.53,,,,,,,,,
NpO2+2,formate,2.47,,,,,,,,,
OsO4,formate,0.7,,,,,,,,,
Pa+4,formate,3.99,,,,,,,,,
Pb+2,formate,2.31,,,,,,,,"Bunting & Thong, 1970",
Pd+2,formate,,,,,,,,,,
Pr+3,formate,1.55,,,,,,,,Kovar & Powell 1966,
Pu+3,formate,2.01,,,,,,,,Nair & Joshi 1981,
Pu+4,formate,3.6,,,,,,,,Ananev & Krot 1984a,
PuO2+,formate,,,,,,,,,,
PuO2+2,formate,,,,,,,,,,
Rh+3,formate,,,,,,,,,,
Sc+3,formate,,,,,,,,,,
Sm+3,formate,1.64,,,,,,,,Kovar & Powell 1966,
Sn+2,formate,,,,,,,,,,
Sr+2,formate,0.4,,,,8.3,,,,Nancollas 1956,Nancollas 1956
Tb+3,formate,1.65,,,,,,,,Kovar & Powell 1966,
TcO+2,formate,,,,,,,,,,
Th+4,formate,3.05,,,,,,,,Portanova et al. 1972,
Ti+3,formate,,,,,,,,,,
Tl+,formate,,,,,,,,,,
Tl+3,formate,,,,,,,,,,
Tm+3,formate,1.49,,,,,,,,Kovar & Powell 1966,
U+3,formate,,,,,,,,,,
U+4,formate,,,,,,,,,,
UO2+2,formate,3,,,,,,,,Ramamoorthy & Santappa 1969,
V+2,formate,,,,,,,,,,
V+3,formate,,,,,,,,,,
VO+2,formate,2.82,,,,,,,,Ivakin & Voronova 1973,
Y+3,formate,1.53,,,,,,,,Kovar & Powell 1966,
Yb+3,formate,1.47,,,,,,,,Kovar & Powell 1966,
Zn+2,formate,1.47,,,,,,,,Malini-Balakrishnan et al. 1985,
Zr+4,formate,3.85,,,,,,,,,
